NIS code/code NIS;Jaar/Année;ifg  algemeen totaal/vif  nombre total;
13019;2006;64;
13021;2006;21;
13023;2006;25;
13025;2006;114;
13029;2006;53;
13031;2006;43;
13035;2006;17;
13036;2006;22;
13037;2006;34;
13040;2006;245;
13044;2006;18;
13046;2006;23;
13049;2006;79;
13053;2006;56;
21001;2006;532;
21002;2006;102;
21003;2006;105;
21004;2006;842;
21005;2006;235;
21006;2006;131;
21007;2006;248;
21008;2006;100;
21009;2006;314;
21010;2006;206;
21011;2006;116;
21012;2006;415;
21013;2006;309;
21014;2006;140;
21015;2006;516;
21016;2006;381;
21017;2006;74;
21018;2006;226;
21019;2006;66;
21020;2006;1;
23002;2006;116;
23003;2006;76;
23009;2006;7;
23016;2006;140;
23023;2006;36;
23024;2006;23;
23025;2006;154;
23027;2006;104;
23032;2006;11;
23033;2006;24;
23038;2006;35;
23039;2006;18;
23044;2006;37;
23045;2006;61;
23047;2006;45;
23050;2006;48;
23052;2006;57;
23060;2006;26;
23062;2006;65;
23064;2006;4;
23077;2006;94;
23081;2006;30;
23086;2006;48;
23088;2006;141;
23094;2006;87;
23095;2006;1;
23096;2006;55;
23097;2006;22;
23098;2006;17;
23099;2006;14;
23100;2006;9;
23101;2006;57;
23102;2006;54;
23103;2006;14;
23104;2006;22;
23105;2006;36;
24001;2006;174;
24007;2006;14;
24008;2006;18;
24009;2006;21;
24011;2006;20;
24014;2006;26;
24016;2006;26;
24020;2006;81;
24028;2006;26;
24033;2006;27;
24038;2006;40;
24041;2006;9;
24043;2006;14;
24045;2006;20;
24048;2006;21;
24054;2006;14;
24055;2006;36;
24059;2006;71;
24062;2006;379;
24066;2006;34;
24086;2006;20;
24094;2006;37;
24104;2006;48;
24107;2006;148;
24109;2006;48;
24130;2006;25;
24133;2006;12;
24134;2006;127;
24135;2006;25;
24137;2006;16;
25005;2006;19;
25014;2006;164;
25015;2006;28;
25018;2006;46;
25023;2006;54;
25031;2006;40;
25037;2006;63;
25043;2006;11;
25044;2006;14;
25048;2006;44;
25050;2006;25;
25068;2006;37;
25072;2006;128;
25084;2006;25;
25091;2006;56;
25105;2006;83;
25107;2006;27;
25110;2006;101;
25112;2006;174;
25117;2006;16;
25118;2006;21;
25119;2006;44;
25120;2006;25;
25121;2006;147;
25122;2006;19;
25123;2006;37;
25124;2006;24;
31003;2006;37;
31004;2006;110;
31005;2006;487;
31006;2006;37;
31012;2006;37;
31022;2006;56;
31033;2006;109;
31040;2006;58;
31042;2006;10;
31043;2006;196;
32003;2006;51;
32006;2006;27;
32010;2006;12;
32011;2006;54;
32030;2006;14;
33011;2006;209;
33016;2006;2;
33021;2006;46;
33029;2006;97;
33037;2006;68;
33039;2006;17;
33040;2006;43;
33041;2006;15;
34002;2006;23;
34003;2006;28;
34009;2006;34;
34013;2006;153;
34022;2006;300;
34023;2006;44;
34025;2006;8;
34027;2006;144;
34040;2006;92;
34041;2006;81;
34042;2006;65;
34043;2006;5;
35002;2006;78;
35005;2006;32;
35006;2006;27;
35011;2006;163;
35013;2006;437;
35014;2006;27;
35029;2006;53;
36006;2006;20;
36007;2006;33;
36008;2006;79;
36010;2006;22;
36011;2006;29;
36012;2006;44;
36015;2006;197;
36019;2006;22;
37002;2006;31;
37007;2006;27;
37010;2006;16;
37011;2006;21;
37012;2006;16;
37015;2006;93;
37017;2006;21;
37018;2006;58;
37020;2006;24;
38002;2006;31;
38008;2006;42;
38014;2006;69;
38016;2006;58;
38025;2006;79;
41002;2006;414;
41011;2006;121;
41018;2006;150;
41024;2006;101;
41027;2006;59;
41034;2006;110;
41048;2006;115;
41063;2006;40;
41081;2006;85;
41082;2006;96;
42003;2006;53;
42004;2006;60;
42006;2006;239;
42008;2006;101;
42010;2006;25;
42011;2006;127;
42023;2006;55;
42025;2006;91;
42026;2006;25;
42028;2006;75;
43002;2006;65;
43005;2006;177;
43007;2006;25;
43010;2006;126;
43014;2006;20;
43018;2006;90;
44001;2006;69;
44011;2006;129;
44012;2006;38;
44013;2006;70;
44019;2006;156;
44020;2006;46;
44021;2006;1785;
44029;2006;41;
44034;2006;64;
44036;2006;27;
44040;2006;19;
44043;2006;66;
44045;2006;31;
44048;2006;45;
44049;2006;38;
44052;2006;35;
44064;2006;13;
44072;2006;32;
44073;2006;39;
44080;2006;24;
44081;2006;56;
45017;2006;11;
45035;2006;125;
45041;2006;169;
45057;2006;20;
45059;2006;45;
45060;2006;16;
45061;2006;8;
45062;2006;3;
45063;2006;40;
45064;2006;13;
45065;2006;23;
46003;2006;166;
46013;2006;42;
46014;2006;165;
46020;2006;57;
46021;2006;329;
46024;2006;116;
46025;2006;132;
51004;2006;160;
51008;2006;102;
51009;2006;106;
51012;2006;17;
51014;2006;28;
51017;2006;15;
51019;2006;9;
51065;2006;45;
52010;2006;107;
52011;2006;1717;
52012;2006;323;
52015;2006;211;
52018;2006;128;
52021;2006;135;
52022;2006;108;
52025;2006;56;
52043;2006;151;
52048;2006;42;
52055;2006;70;
52063;2006;50;
52074;2006;89;
52075;2006;53;
53014;2006;151;
53020;2006;142;
53028;2006;125;
53039;2006;45;
53044;2006;39;
53046;2006;22;
53053;2006;756;
53065;2006;136;
53068;2006;36;
53070;2006;172;
53082;2006;154;
53083;2006;20;
53084;2006;26;
54007;2006;261;
54010;2006;125;
55004;2006;88;
55010;2006;46;
55022;2006;676;
55023;2006;107;
55035;2006;39;
55039;2006;18;
55040;2006;157;
55050;2006;57;
56001;2006;82;
56005;2006;53;
56011;2006;273;
56016;2006;59;
56022;2006;70;
56029;2006;32;
56044;2006;27;
56049;2006;31;
56051;2006;28;
56078;2006;88;
56085;2006;51;
56086;2006;74;
56087;2006;164;
56088;2006;25;
57003;2006;56;
57018;2006;20;
57027;2006;62;
57062;2006;15;
57064;2006;121;
57072;2006;27;
57081;2006;439;
57093;2006;32;
57094;2006;65;
57095;2006;7;
61003;2006;92;
61010;2006;9;
61012;2006;12;
61019;2006;6;
61024;2006;37;
61028;2006;27;
61031;2006;149;
61039;2006;31;
61041;2006;14;
61043;2006;9;
61048;2006;14;
61063;2006;12;
61068;2006;47;
61072;2006;46;
61079;2006;12;
61080;2006;54;
61081;2006;19;
62003;2006;192;
62006;2006;64;
62009;2006;61;
62011;2006;65;
62015;2006;75;
62022;2006;86;
62026;2006;35;
62027;2006;12;
62032;2006;72;
62038;2006;101;
62051;2006;264;
62060;2006;32;
62063;2006;1897;
62079;2006;180;
62093;2006;143;
62096;2006;378;
62099;2006;75;
62100;2006;54;
62108;2006;149;
62118;2006;193;
62119;2006;79;
62120;2006;173;
62121;2006;44;
62122;2006;43;
63001;2006;3;
63003;2006;12;
63004;2006;15;
63012;2006;7;
63013;2006;7;
63020;2006;95;
63023;2006;59;
63035;2006;50;
63038;2006;39;
63040;2006;34;
63045;2006;7;
63046;2006;22;
63048;2006;34;
63049;2006;46;
63057;2006;24;
63058;2006;52;
63061;2006;22;
